4m29s   Normal    Scheduled                      pod/llm-proxy-857bf6d79d-cmt7h                     Successfully assigned default/llm-proxy-857bf6d79d-cmt7h to ip-172-31-29-57.us-west-2.compute.internal
4m28s   Normal    Pulling                        pod/llm-proxy-857bf6d79d-cmt7h                     Pulling image "curlimages/curl:8.21.0"
4m25s   Normal    Created                        pod/llm-proxy-857bf6d79d-cmt7h                     Container created
4m25s   Normal    Pulled                         pod/llm-proxy-857bf6d79d-cmt7h                     Successfully pulled image "curlimages/curl:8.21.0" in 2.963s (2.963s including waiting). Image size: 10652192 bytes.
4m25s   Normal    Started                        pod/llm-proxy-857bf6d79d-cmt7h                     Container started
4m6s    Normal    Pulling                        pod/llm-proxy-857bf6d79d-cmt7h                     Pulling image "ghcr.io/ggml-org/llama.cpp:server"
3m57s   Normal    Pulling                        pod/llm-proxy-857bf6d79d-9lnw2                     Pulling image "ghcr.io/ggml-org/llama.cpp:server"
3m48s   Normal    Started                        pod/llm-proxy-857bf6d79d-cmt7h                     Container started
3m48s   Normal    Created                        pod/llm-proxy-857bf6d79d-cmt7h                     Container created
3m48s   Normal    Pulling                        pod/llm-proxy-857bf6d79d-cmt7h                     Pulling image "ghcr.io/bobthebot988/llm-proxy:latest"
3m48s   Normal    Pulled                         pod/llm-proxy-857bf6d79d-cmt7h                     Successfully pulled image "ghcr.io/ggml-org/llama.cpp:server" in 17.894s (17.894s including waiting). Image size: 307230405 bytes.
3m44s   Normal    Created                        pod/llm-proxy-857bf6d79d-9lnw2                     Container created
3m44s   Normal    Started                        pod/llm-proxy-857bf6d79d-9lnw2                     Container started
3m44s   Normal    Pulled                         pod/llm-proxy-857bf6d79d-9lnw2                     Successfully pulled image "ghcr.io/ggml-org/llama.cpp:server" in 12.883s (12.883s including waiting). Image size: 307230405 bytes.
3m44s   Normal    Pulling                        pod/llm-proxy-857bf6d79d-9lnw2                     Pulling image "ghcr.io/bobthebot988/llm-proxy:latest"
3m42s   Normal    Created                        pod/llm-proxy-857bf6d79d-cmt7h                     Container created
3m42s   Normal    Pulled                         pod/llm-proxy-857bf6d79d-cmt7h                     Successfully pulled image "ghcr.io/bobthebot988/llm-proxy:latest" in 6.497s (6.497s including waiting). Image size: 64753325 bytes.
3m41s   Warning   Unhealthy                      pod/llm-proxy-857bf6d79d-cmt7h                     Readiness probe failed: Get "http://10.244.1.3:8000/health": dial tcp 10.244.1.3:8000: connect: connection refused
3m41s   Normal    Started                        pod/llm-proxy-857bf6d79d-cmt7h                     Container started
3m39s   Normal    Started                        pod/llm-proxy-857bf6d79d-9lnw2                     Container started
3m39s   Normal    Pulled                         pod/llm-proxy-857bf6d79d-9lnw2                     Successfully pulled image "ghcr.io/bobthebot988/llm-proxy:latest" in 5.455s (5.455s including waiting). Image size: 64753325 bytes.
3m39s   Normal    Created                        pod/llm-proxy-857bf6d79d-9lnw2                     Container created
3m38s   Warning   Unhealthy                      pod/llm-proxy-857bf6d79d-9lnw2                     Readiness probe failed: Get "http://10.244.6.2:8000/health": dial tcp 10.244.6.2:8000: connect: connection refused
