3m5s    Normal    ScalingReplicaSet              deployment/llm-proxy                               Scaled down replica set llm-proxy-7dc458997b from 4 to 3
3m5s    Normal    SuccessfulRescale              horizontalpodautoscaler/llm-proxy-exp6             New size: 3; reason: All metrics below target
3m5s    Normal    SuccessfulDelete               replicaset/llm-proxy-7dc458997b                    Deleted pod: llm-proxy-7dc458997b-5fx42
2m50s   Normal    Killing                        pod/llm-proxy-7dc458997b-vx49l                     Stopping container fastapi-proxy
2m50s   Normal    SuccessfulRescale              horizontalpodautoscaler/llm-proxy-exp6             New size: 1; reason: All metrics below target
2m50s   Normal    Killing                        pod/llm-proxy-7dc458997b-nzq64                     Stopping container llama-server
2m50s   Normal    Killing                        pod/llm-proxy-7dc458997b-nzq64                     Stopping container fastapi-proxy
2m50s   Normal    Killing                        pod/llm-proxy-7dc458997b-vx49l                     Stopping container llama-server
2m50s   Normal    SuccessfulDelete               replicaset/llm-proxy-7dc458997b                    Deleted pod: llm-proxy-7dc458997b-nzq64
2m50s   Normal    SuccessfulDelete               replicaset/llm-proxy-7dc458997b                    Deleted pod: llm-proxy-7dc458997b-vx49l
2m50s   Normal    ScalingReplicaSet              deployment/llm-proxy                               Scaled down replica set llm-proxy-7dc458997b from 3 to 1
