49m     Normal    Starting                       node/ip-172-31-19-104.us-west-2.compute.internal   
37m     Normal    Pulled                         pod/llm-proxy-7dc458997b-dgjwp                     Successfully pulled image "curlimages/curl:8.21.0" in 1.64s (1.64s including waiting). Image size: 10652192 bytes.
37m     Normal    Created                        pod/llm-proxy-7dc458997b-dgjwp                     Container created
37m     Normal    Started                        pod/llm-proxy-7dc458997b-dgjwp                     Container started
37m     Normal    Pulled                         pod/llm-proxy-7dc458997b-z7s5f                     Successfully pulled image "curlimages/curl:8.21.0" in 1.648s (1.648s including waiting). Image size: 10652192 bytes.
37m     Normal    Created                        pod/llm-proxy-7dc458997b-z7s5f                     Container created
37m     Normal    Started                        pod/llm-proxy-7dc458997b-z7s5f                     Container started
36m     Normal    Pulling                        pod/llm-proxy-7dc458997b-z7s5f                     Pulling image "ghcr.io/ggml-org/llama.cpp:server"
36m     Normal    Pulling                        pod/llm-proxy-7dc458997b-dgjwp                     Pulling image "ghcr.io/ggml-org/llama.cpp:server"
36m     Normal    Pulling                        pod/llm-proxy-7dc458997b-dgjwp                     Pulling image "ghcr.io/bobthebot988/llm-proxy:latest"
36m     Normal    Pulled                         pod/llm-proxy-7dc458997b-dgjwp                     Successfully pulled image "ghcr.io/ggml-org/llama.cpp:server" in 14.499s (14.499s including waiting). Image size: 309744732 bytes.
36m     Normal    Started                        pod/llm-proxy-7dc458997b-dgjwp                     Container started
36m     Normal    Created                        pod/llm-proxy-7dc458997b-dgjwp                     Container created
36m     Normal    Pulling                        pod/llm-proxy-7dc458997b-z7s5f                     Pulling image "ghcr.io/bobthebot988/llm-proxy:latest"
36m     Normal    Started                        pod/llm-proxy-7dc458997b-z7s5f                     Container started
36m     Normal    Pulled                         pod/llm-proxy-7dc458997b-z7s5f                     Successfully pulled image "ghcr.io/ggml-org/llama.cpp:server" in 16.577s (16.577s including waiting). Image size: 309744732 bytes.
36m     Normal    Created                        pod/llm-proxy-7dc458997b-z7s5f                     Container created
36m     Warning   Unhealthy                      pod/llm-proxy-7dc458997b-dgjwp                     Readiness probe failed: Get "http://10.244.3.2:8000/health": dial tcp 10.244.3.2:8000: connect: connection refused
36m     Normal    Started                        pod/llm-proxy-7dc458997b-dgjwp                     Container started
36m     Normal    Created                        pod/llm-proxy-7dc458997b-dgjwp                     Container created
36m     Normal    Pulled                         pod/llm-proxy-7dc458997b-dgjwp                     Successfully pulled image "ghcr.io/bobthebot988/llm-proxy:latest" in 5.475s (5.475s including waiting). Image size: 64753325 bytes.
36m     Normal    Pulled                         pod/llm-proxy-7dc458997b-z7s5f                     Successfully pulled image "ghcr.io/bobthebot988/llm-proxy:latest" in 5.876s (5.876s including waiting). Image size: 64753325 bytes.
36m     Normal    Created                        pod/llm-proxy-7dc458997b-z7s5f                     Container created
36m     Normal    Started                        pod/llm-proxy-7dc458997b-z7s5f                     Container started
31m     Normal    ScalingReplicaSet              deployment/llm-proxy                               Scaled up replica set llm-proxy-7dc458997b from 4 to 6
31m     Normal    SuccessfulRescale              horizontalpodautoscaler/llm-proxy-exp6             New size: 6; reason: cpu resource utilization (percentage of request) above target
31m     Normal    Scheduled                      pod/llm-proxy-7dc458997b-vgfnn                     Successfully assigned default/llm-proxy-7dc458997b-vgfnn to ip-172-31-16-158.us-west-2.compute.internal
31m     Normal    SuccessfulCreate               replicaset/llm-proxy-7dc458997b                    Created pod: llm-proxy-7dc458997b-vgfnn
31m     Normal    Scheduled                      pod/llm-proxy-7dc458997b-v4zcr                     Successfully assigned default/llm-proxy-7dc458997b-v4zcr to ip-172-31-18-121.us-west-2.compute.internal
31m     Normal    SuccessfulCreate               replicaset/llm-proxy-7dc458997b                    Created pod: llm-proxy-7dc458997b-v4zcr
31m     Normal    Pulling                        pod/llm-proxy-7dc458997b-vgfnn                     Pulling image "curlimages/curl:8.21.0"
31m     Normal    Pulling                        pod/llm-proxy-7dc458997b-v4zcr                     Pulling image "curlimages/curl:8.21.0"
31m     Normal    Pulled                         pod/llm-proxy-7dc458997b-vgfnn                     Successfully pulled image "curlimages/curl:8.21.0" in 1.707s (1.707s including waiting). Image size: 10652192 bytes.
31m     Normal    Created                        pod/llm-proxy-7dc458997b-vgfnn                     Container created
31m     Normal    Started                        pod/llm-proxy-7dc458997b-vgfnn                     Container started
31m     Normal    Pulled                         pod/llm-proxy-7dc458997b-v4zcr                     Successfully pulled image "curlimages/curl:8.21.0" in 1.729s (1.729s including waiting). Image size: 10652192 bytes.
31m     Normal    Created                        pod/llm-proxy-7dc458997b-v4zcr                     Container created
31m     Normal    Started                        pod/llm-proxy-7dc458997b-v4zcr                     Container started
31m     Normal    Pulling                        pod/llm-proxy-7dc458997b-vgfnn                     Pulling image "ghcr.io/ggml-org/llama.cpp:server"
31m     Normal    Pulling                        pod/llm-proxy-7dc458997b-v4zcr                     Pulling image "ghcr.io/ggml-org/llama.cpp:server"
30m     Normal    Pulled                         pod/llm-proxy-7dc458997b-vgfnn                     Successfully pulled image "ghcr.io/ggml-org/llama.cpp:server" in 16.755s (16.755s including waiting). Image size: 309744732 bytes.
30m     Normal    Created                        pod/llm-proxy-7dc458997b-vgfnn                     Container created
30m     Normal    Started                        pod/llm-proxy-7dc458997b-vgfnn                     Container started
30m     Normal    Pulling                        pod/llm-proxy-7dc458997b-v4zcr                     Pulling image "ghcr.io/bobthebot988/llm-proxy:latest"
30m     Normal    Started                        pod/llm-proxy-7dc458997b-v4zcr                     Container started
30m     Normal    Created                        pod/llm-proxy-7dc458997b-v4zcr                     Container created
30m     Normal    Pulled                         pod/llm-proxy-7dc458997b-v4zcr                     Successfully pulled image "ghcr.io/ggml-org/llama.cpp:server" in 15.76s (15.76s including waiting). Image size: 309744732 bytes.
30m     Normal    Pulling                        pod/llm-proxy-7dc458997b-vgfnn                     Pulling image "ghcr.io/bobthebot988/llm-proxy:latest"
30m     Normal    Started                        pod/llm-proxy-7dc458997b-vgfnn                     Container started
30m     Normal    Pulled                         pod/llm-proxy-7dc458997b-vgfnn                     Successfully pulled image "ghcr.io/bobthebot988/llm-proxy:latest" in 5.86s (5.86s including waiting). Image size: 64753325 bytes.
30m     Normal    Created                        pod/llm-proxy-7dc458997b-vgfnn                     Container created
